Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Cuellar, Henry",48600,38600,10000,Candidate (D-TX28),Democrat
"Sewell, Terri",48050,38050,10000,Candidate (D-AL07),Democrat
"Smith, Jason",47300,37300,10000,Candidate (R-MO08),Republican
"Stevens, Haley",47100,37100,10000,Candidate (D-MI11),Democrat
"Goldman, Craig",45350,40350,5000,Candidate (R-TX12),Republican
"Beatty, Joyce",45050,40050,5000,Candidate (D-OH03),Democrat
"Lieu, Ted",44987,34987,10000,Candidate (D-CA36),Democrat
"Van Duyne, Beth",44750,34750,10000,Candidate (R-TX24),Republican
"Kustoff, David",44600,34600,10000,Candidate (R-TN08),Republican
"Peltola, Mary",44518,39518,5000,Candidate (D-AK01),Democrat
"Miller, Max",44150,39150,5000,Candidate (R-OH07),Republican
"Maloy, Celeste",43508,28508,15000,Candidate (R-UT02),Republican
"Mace, Nancy",43305,33305,10000,Candidate (R-SC01),Republican
"Loudermilk, Barry",43100,33100,10000,Candidate (R-GA11),Republican
"Moulton, Seth",42850,32850,10000,Candidate (D-MA06),Democrat
"McHenry, Patrick",41950,40950,1000,Candidate (R-NC10),Republican
"Mrvan, Frank Jr",41823,31823,10000,Candidate (D-IN01),Democrat
"Timmons, William",41597,31597,10000,Candidate (R-SC04),Republican
"Carter, Troy",41350,36350,5000,Candidate (D-LA02),Democrat
"Wild, Susan",40900,45900,-5000,Candidate (D-PA07),Democrat
"Budzinski, Nikki",40704,35704,5000,Candidate (D-IL13),Democrat
"Van Orden, Derrick",40400,35400,5000,Candidate (R-WI03),Republican
"Kennedy, Timothy",39750,29750,10000,Candidate (D-NY26),Democrat
"Tenney, Claudia",39650,29650,10000,Candidate (R-NY24),Republican
"Franklin, Scott",39500,29500,10000,Candidate (R-FL18),Republican
"Wenstrup, Brad",39300,29300,10000,Candidate (R-OH02),Republican
"Graves, Garret",38900,33900,5000,Candidate (R-LA06),Republican
"Pfluger, August",38850,28850,10000,Candidate (R-TX11),Republican
"Deluzio, Christopher",37900,32900,5000,Candidate (D-PA17),Democrat
"Delaney, April",37900,27900,10000,Candidate (D-MD06),Democrat
"Scott, David",37500,27500,10000,Candidate (D-GA13),Democrat
"Harris, Kamala",37427,37427,0,Candidate (D-PRES),Democrat
"Subramanyam, Suhas",37250,32250,5000,Candidate (D-VA10),Democrat
"Fry, Russell",37200,27200,10000,Candidate (R-SC07),Republican
"Neal, Richard E",37100,27100,10000,Candidate (D-MA01),Democrat
"Wittman, Rob",36851,26851,10000,Candidate (R-VA01),Republican
"Johnson, Julie",36510,31510,5000,Candidate (D-TX32),Democrat
"Davids, Sharice",36504,26504,10000,Candidate (D-KS03),Democrat
"Figures, Shomari",36300,31300,5000,Candidate (D-AL02),Democrat
"McCarthy, Kevin",36000,33500,2500,Candidate (R-CA20),Republican
"King, Angus",35950,30950,5000,Candidate (I-MES1),Independent
Democratic Senatorial Campaign Cmte,35775,5775,30000,Political Party,Democrat
"Steil, Bryan",35750,30750,5000,Candidate (R-WI01),Republican
"Houlahan, Chrissy",35710,25710,10000,Candidate (D-PA06),Democrat
"Carter, Buddy",35666,25666,10000,Candidate (R-GA01),Republican
Democratic Congressional Campaign Cmte,35556,5556,30000,Political Party,Democrat
"Van Drew, Jeff",35300,25300,10000,Candidate (R-NJ02),Republican
"Weber, Randy",35002,25002,10000,Candidate (R-TX14),Republican
"Aderholt, Robert B",34804,29804,5000,Candidate (R-AL04),Republican
"Pou, Nelida",34786,29786,5000,Candidate (D-NJ09),Democrat
"Pettersen, Brittany",34610,24610,10000,Candidate (D-CO07),Democrat
"Walberg, Tim",34450,24450,10000,Candidate (R-MI05),Republican
"Issa, Darrell",34222,24222,10000,Candidate (R-CA48),Republican
"Carey, Mike",34150,24150,10000,Candidate (R-OH15),Republican
"Edwards, Chuck",34085,24085,10000,Candidate (R-NC11),Republican
"Bera, Ami",34069,34069,0,Candidate (D-CA06),Democrat
"Murphy, Greg",34008,24008,10000,Candidate (R-NC03),Republican
"Spartz, Victoria",33700,23700,10000,Candidate (R-IN05),Republican
"Brownley, Julia",33622,23622,10000,Candidate (D-CA26),Democrat
"Mann, Tracey",33607,23607,10000,Candidate (R-KS01),Republican
"Salazar, Maria",33607,23607,10000,Candidate (R-FL27),Republican
"Smucker, Lloyd",33450,23450,10000,Candidate (R-PA11),Republican
"Palmer, Gary",33250,28250,5000,Candidate (R-AL06),Republican
"Spanberger, Abigail",32900,32900,0,Candidate (D-VA07),Democrat
"Sanchez, Linda",32322,23322,9000,Candidate (D-CA38),Democrat
"McBride, Sarah",32260,22260,10000,Candidate (D-DE01),Democrat
"Langworthy, Nick",31550,21550,10000,Candidate (R-NY23),Republican
"Hern, Kevin",31350,21350,10000,Candidate (R-OK01),Republican
"Cardenas, Tony",31050,31050,0,Candidate (D-CA29),Democrat
"Fischbach, Michelle",30250,25250,5000,Candidate (R-MN07),Republican
"Jackson, Ronny",29646,9646,20000,Candidate (R-TX13),Republican
"Moran, Nathaniel",29600,19600,10000,Candidate (R-TX01),Republican
"Magaziner, Seth",29100,24100,5000,Candidate (D-RI02),Democrat
"Carl, Jerry",28900,23900,5000,Candidate (R-AL01),Republican
"Lee, Laurel",28787,18787,10000,Candidate (R-FL15),Republican
"LaHood, Darin",28710,23710,5000,Candidate (R-IL16),Republican
"Owens, Burgess",28645,23645,5000,Candidate (R-UT04),Republican
"Larsen, Rick",27800,22800,5000,Candidate (D-WA02),Democrat
"Smith, Chris",27500,17500,10000,Candidate (R-NJ04),Republican
"Duarte, John",27280,22280,5000,Candidate (R-CA13),Republican
"Bergman, John",27250,17250,10000,Candidate (R-MI01),Republican
"Moore, Riley",27250,17250,10000,Candidate (R-WV02),Republican
"Rose, John",26908,16908,10000,Candidate (R-TN06),Republican
"Nickel, Wiley",26858,21858,5000,Candidate (D-NC13),Democrat
"Hill, French",26800,16800,10000,Candidate (R-AR02),Republican
"Balderson, Troy",26550,21550,5000,Candidate (R-OH12),Republican
"Cisneros, Gil",26100,21100,5000,Candidate (D-CA31),Democrat
"Allen, Richard W",25550,15550,10000,Candidate (R-GA12),Republican
"Cammack, Kat",25360,15360,10000,Candidate (R-FL03),Republican
"Gimenez, Carlos",24850,14850,10000,Candidate (R-FL28),Republican
"Buchanan, Vernon",24000,14000,10000,Candidate (R-FL16),Republican
"Castor, Kathy",23960,13960,10000,Candidate (D-FL14),Democrat
"Hinson, Ashley",23846,18846,5000,Candidate (R-IA02),Republican
"Dunn, Neal",23608,13608,10000,Candidate (R-FL02),Republican
"Luttrell, Morgan",23600,13600,10000,Candidate (R-TX08),Republican
"McClellan, Jennifer",23550,13550,10000,Candidate (D-VA04),Democrat
"Mills, Cory",23350,23350,0,Candidate (R-FL07),Republican
"Manchin, Joe",23300,23300,0,Candidate (D-WVS1),Democrat
"Grothman, Glenn",23300,13300,10000,Candidate (R-WI06),Republican
"Cloud, Michael",23001,13001,10000,Candidate (R-TX27),Republican
"Griffith, Morgan",22550,12550,10000,Candidate (R-VA09),Republican
"Cline, Ben",22501,12501,10000,Candidate (R-VA06),Republican
